Wall time,Step,Value
1673078466.3400652,1400,-1292.63818359375
1673078467.0817506,2000,-931.6298217773438
1673078467.8524928,2600,-1595.08056640625
1673078468.655199,3200,-533.1909790039062
1673078469.4416957,3800,-1409.79248046875
1673078470.2467165,4400,-1352.71142578125
1673078471.0614722,5000,-451.2958068847656
1673078471.8974314,5600,-1047.386474609375
1673078472.7426946,6200,-755.4086303710938
1673078473.597863,6800,-534.314697265625
1673078474.4850488,7400,-529.5363159179688
1673078475.3578656,8000,-656.5032348632812
1673078476.2306578,8600,-804.5750732421875
1673078477.1389163,9200,-805.896240234375
1673078478.1103742,9800,-389.1270751953125
1673078479.0756636,10400,-739.6588745117188
1673078480.0606482,11000,-798.9169311523438
1673078481.0365422,11600,-503.0235595703125
1673078482.037372,12200,-626.2587890625
1673078483.0267677,12800,-413.91888427734375
1673078484.0728126,13400,-628.4187622070312
1673078485.083629,14000,-753.2589721679688
1673078486.1046257,14600,-719.7006225585938
1673078487.2051556,15200,-537.6342163085938
1673078488.2342272,15800,-634.03173828125
1673078489.3537807,16400,-601.5787353515625
1673078490.4548235,17000,-523.9848022460938
1673078491.6247175,17600,-544.5226440429688
1673078492.763889,18200,-561.9412841796875
1673078493.9263105,18800,-616.1171264648438
1673078495.094469,19400,-638.8952026367188
1673078496.290683,20000,-726.3451538085938
1673078497.4775102,20600,-738.5602416992188
1673078498.8422112,21200,-809.5559692382812
1673078500.158445,21800,-791.5283813476562
1673078501.5552177,22400,-894.6983642578125
1673078502.9897997,23000,-903.4077758789062
1673078504.447753,23600,-852.0194091796875
1673078505.8802233,24200,-981.9334106445312
1673078507.4222276,24800,-952.7864379882812
1673078508.9383168,25400,-997.8969116210938
1673078510.293175,26000,-1001.2368774414062
1673078511.6830308,26600,-1116.07080078125
1673078513.139459,27200,-1050.521484375
1673078514.5710368,27800,-1017.719970703125
1673078516.1525707,28400,-1047.3499755859375
1673078517.7284636,29000,-1038.4039306640625
1673078519.3115618,29600,-1076.371337890625
1673078520.7976031,30200,-1136.87451171875
1673078522.4395056,30800,-1013.680908203125
1673078523.9499986,31400,-1024.6290283203125
1673078525.478609,32000,-1105.333740234375
1673078527.0666926,32600,-1052.6568603515625
1673078528.7274427,33200,-1012.3399047851562
1673078530.1471262,33800,-1133.7239990234375
1673078531.715536,34400,-1162.807373046875
1673078533.2968373,35000,-1087.47900390625
1673078534.781286,35600,-1105.8306884765625
1673078536.2937446,36200,-1108.46435546875
1673078537.9105344,36800,-1135.1063232421875
1673078539.5257623,37400,-1115.8699951171875
1673078541.1703904,38000,-1119.865966796875
1673078542.8605819,38600,-1123.6326904296875
1673078544.4949877,39200,-1089.1407470703125
1673078546.2404015,39800,-1141.4906005859375
1673078547.9627252,40400,-1122.2489013671875
1673078549.5644596,41000,-1189.6363525390625
1673078551.1617992,41600,-1078.934326171875
1673078552.8868089,42200,-1064.053466796875
1673078554.7043378,42800,-1068.3343505859375
1673078556.4675283,43400,-975.1548461914062
1673078558.193854,44000,-926.0756225585938
1673078559.9876797,44600,-781.42431640625
1673078561.7150881,45200,-917.9500732421875
1673078563.4894786,45800,-1009.1691284179688
1673078565.322468,46400,-1094.3680419921875
1673078567.146786,47000,-1043.171142578125
1673078569.0460083,47600,-1048.4742431640625
1673078570.9135058,48200,-1284.734375
1673078572.7579823,48800,-1497.134521484375
1673078574.610292,49400,-1437.3375244140625
1673078576.4874864,50000,-1570.2940673828125
1673078578.502641,50600,-1379.816650390625
1673078580.4884348,51200,-1309.89404296875
1673078582.4022472,51800,-1379.822265625
1673078584.357974,52400,-1458.14794921875
1673078586.3364105,53000,-1326.5179443359375
1673078588.3228173,53600,-1498.7921142578125
1673078590.3680625,54200,-1678.134033203125
1673078592.3594804,54800,-1826.575439453125
1673078594.258157,55400,-1715.1009521484375
1673078596.1842942,56000,-1835.4344482421875
1673078598.2693179,56600,-1647.6495361328125
1673078600.4079263,57200,-1616.7596435546875
1673078602.4573748,57800,-1171.532470703125
1673078604.479775,58400,-1415.0137939453125
1673078606.6914816,59000,-1481.7120361328125
1673078608.8892324,59600,-1579.395751953125
1673078611.0299342,60200,-1548.699951171875
1673078613.1281338,60800,-1533.5111083984375
1673078615.323838,61400,-1479.2041015625
1673078617.5370915,62000,-1419.93798828125
1673078619.7700815,62600,-1344.3499755859375
1673078621.9601772,63200,-1287.7630615234375
1673078624.0989394,63800,-1258.060546875
1673078626.3068762,64400,-1078.0892333984375
1673078628.5738926,65000,-983.522216796875
1673078630.7717516,65600,-798.4540405273438
1673078633.0763657,66200,-789.142578125
1673078635.422149,66800,-771.4841918945312
1673078637.595401,67400,-745.5005493164062
1673078639.8167112,68000,-762.0595703125
1673078642.1003346,68600,-800.921630859375
1673078644.389846,69200,-819.17041015625
1673078646.5480363,69800,-810.8831787109375
1673078648.9660442,70400,-839.1896362304688
1673078651.4063482,71000,-899.1942749023438
1673078653.8215635,71600,-948.8331298828125
1673078656.3588786,72200,-943.7735595703125
1673078658.8391373,72800,-894.579345703125
1673078661.3035588,73400,-906.02685546875
1673078663.660308,74000,-1006.1373291015625
1673078666.0515265,74600,-900.081787109375
1673078668.4245307,75200,-1017.014404296875
