Wall time,Step,Value
1676101141.8702748,6300,-161.54861450195312
1676101145.782343,9300,-155.8020782470703
1676101149.7960978,12300,-248.4773406982422
1676101153.746865,15300,-164.17568969726562
1676101158.0628722,18300,-135.22254943847656
1676101162.3877852,21300,-125.74136352539062
1676101166.823773,24300,-99.9641342163086
1676101171.4355948,27300,-109.39462280273438
1676101176.0439565,30300,-99.1772232055664
1676101180.4643643,33300,-119.35639953613281
1676101185.3263228,36300,-89.70993041992188
1676101190.3037949,39300,-81.84699249267578
1676101195.1450489,42300,-103.31565856933594
1676101200.2320495,45300,-97.11884307861328
1676101205.3455606,48300,-91.34111022949219
1676101210.3811548,51300,-87.83643341064453
1676101215.577985,54300,-84.93306732177734
1676101220.8493717,57300,-86.56047058105469
1676101226.0608315,60300,-83.01912689208984
1676101231.3587425,63300,-88.07931518554688
1676101237.1590624,66300,-89.36921691894531
1676101243.3044353,69300,-102.11888122558594
1676101249.272032,72300,-113.9391860961914
1676101254.567839,75300,-106.1392593383789
1676101259.5706925,78300,-122.49052429199219
1676101264.7859547,81300,-94.65369415283203
1676101269.909026,84300,-89.93556213378906
1676101275.1919572,87300,-80.83002471923828
1676101281.0018153,90300,-77.0997085571289
1676101286.5219207,93300,-87.87264251708984
1676101292.3828325,96300,-84.56314086914062
1676101298.0824625,99300,-87.92616271972656
1676101303.607091,102300,-84.58853149414062
1676101309.6753232,105300,-86.1085433959961
1676101315.2328804,108300,-80.18003845214844
1676101320.919073,111300,-73.62837219238281
1676101326.678231,114300,-43.73308563232422
1676101332.7126443,117300,-26.46807289123535
1676101338.7988443,120300,-36.967891693115234
1676101345.0106552,123300,-18.836355209350586
1676101350.9499726,126300,-17.613800048828125
1676101357.6013525,129300,-15.612624168395996
1676101363.6846552,132300,-16.14400863647461
1676101370.211073,135300,-23.290054321289062
1676101376.5624018,138300,-30.308622360229492
1676101382.806907,141300,-37.130455017089844
1676101389.5890849,144300,-16.157184600830078
1676101396.1080968,147300,-29.818702697753906
1676101402.793618,150300,-43.4983024597168
1676101409.844474,153300,-14.175464630126953
1676101416.7410994,156300,-16.27044677734375
1676101423.7270026,159300,-29.321237564086914
1676101430.7307587,162300,-13.720131874084473
1676101437.7632794,165300,-42.93583297729492
1676101444.7718625,168300,-19.620243072509766
1676101452.3092797,171300,-23.978120803833008
1676101459.446579,174300,-26.472326278686523
1676101467.1736279,177300,-17.531696319580078
1676101474.3429556,180300,-20.97062110900879
1676101482.099397,183300,-15.322457313537598
1676101490.0768492,186300,-14.831855773925781
1676101497.9683847,189300,-25.12933349609375
1676101505.2554862,192300,-12.789203643798828
1676101513.5563297,195300,-12.500703811645508
1676101521.2420797,198300,-11.856208801269531
1676101528.890513,201300,-19.643518447875977
1676101537.1722908,204300,-14.107928276062012
1676101544.92877,207300,-13.562355041503906
1676101553.0995336,210300,-34.35686492919922
1676101561.165434,213300,-19.23733901977539
1676101569.0767684,216300,-14.676769256591797
1676101577.902036,219300,-11.99202823638916
1676101586.5549,222300,-14.369489669799805
1676101594.749006,225300,-26.044179916381836
1676101602.9736204,228300,-17.714458465576172
1676101612.0107841,231300,-18.359262466430664
1676101620.5666902,234300,-17.221982955932617
1676101628.9289181,237300,-15.239236831665039
1676101638.0600386,240300,-27.28376007080078
1676101647.0751834,243300,-15.828838348388672
1676101656.484471,246300,-20.117517471313477
1676101666.047009,249300,-12.37494945526123
1676101675.6043437,252300,-13.254186630249023
1676101684.5911503,255300,-21.12331771850586
1676101693.97109,258300,-12.238020896911621
1676101703.0496285,261300,-14.215435981750488
1676101712.816642,264300,-12.29712963104248
1676101722.4414046,267300,-17.468793869018555
1676101732.5104184,270300,-11.670527458190918
1676101741.7341588,273300,-23.55671501159668
1676101752.061244,276300,-12.855487823486328
1676101761.9227881,279300,-13.379929542541504
1676101772.1619418,282300,-12.643187522888184
1676101782.0840328,285300,-11.644989013671875
1676101792.515874,288300,-16.088769912719727
1676101803.1099641,291300,-11.352705955505371
1676101812.9551713,294300,-24.98577117919922
1676101823.4887967,297300,-17.410062789916992
1676101833.6680815,300300,-10.993295669555664
1676101843.7551746,303300,-15.266876220703125
1676101853.7643611,306300,-10.580604553222656
1676101864.1566021,309300,-11.13433837890625
1676101875.596353,312300,-10.65424633026123
1676101886.140832,315300,-17.810626983642578
1676101897.5931542,318300,-11.88611125946045
1676101909.0240028,321300,-11.697040557861328
1676101920.2159128,324300,-12.971070289611816
1676101932.0020382,327300,-11.2473726272583
1676101943.4350371,330300,-9.618234634399414
1676101953.7283905,333300,-10.109679222106934
1676101965.2215252,336300,-10.477621078491211
1676101976.2395527,339300,-15.89570140838623
1676101987.6005855,342300,-11.538599967956543
1676101999.9106624,345300,-13.538494110107422
1676102010.803951,348300,-10.98254108428955
1676102022.4755197,351300,-11.840998649597168
1676102033.984196,354300,-10.789213180541992
1676102045.170536,357300,-10.12171459197998
1676102056.457574,360300,-9.486468315124512
1676102068.6934345,363300,-11.423425674438477
1676102080.2155466,366300,-16.279325485229492
1676102091.9978888,369300,-16.236051559448242
1676102104.2188401,372300,-10.387933731079102
1676102115.7211683,375300,-10.468334197998047
1676102127.5904522,378300,-15.811296463012695
1676102140.5020728,381300,-10.299839973449707
1676102152.894957,384300,-10.32044506072998
1676102165.781542,387300,-15.314925193786621
1676102179.0271604,390300,-22.30158042907715
1676102190.90524,393300,-9.901324272155762
1676102203.4082904,396300,-9.271910667419434
1676102216.2071795,399300,-9.127060890197754
1676102228.4195302,402300,-11.99085521697998
1676102241.4277155,405300,-9.497514724731445
1676102255.3156433,408300,-9.66096305847168
1676102269.0981493,411300,-14.526031494140625
1676102282.7054656,414300,-9.88913631439209
1676102295.074001,417300,-11.88834285736084
1676102308.3974454,420300,-10.496040344238281
1676102320.8173852,423300,-11.12037181854248
1676102334.4040642,426300,-8.961518287658691
1676102348.3946593,429300,-11.019371032714844
1676102361.7302306,432300,-11.812058448791504
1676102374.7456408,435300,-9.9679536819458
1676102387.8269818,438300,-9.56619930267334
1676102401.4059114,441300,-11.850706100463867
1676102414.4495525,444300,-9.894487380981445
