Batch,Average Reward
7,-1292.63818359375
10,-931.6298217773438
13,-1595.08056640625
16,-533.1909790039062
19,-1409.79248046875
22,-1352.71142578125
25,-451.2958068847656
28,-1047.386474609375
31,-755.4086303710938
34,-534.314697265625
37,-529.5363159179688
40,-656.5032348632812
43,-804.5750732421875
46,-805.896240234375
49,-389.1270751953125
52,-739.6588745117188
55,-798.9169311523438
58,-503.0235595703125
61,-626.2587890625
64,-413.91888427734375
67,-628.4187622070312
70,-753.2589721679688
73,-719.7006225585938
76,-537.6342163085938
79,-634.03173828125
82,-601.5787353515625
85,-523.9848022460938
88,-544.5226440429688
91,-561.9412841796875
94,-616.1171264648438
97,-638.8952026367188
100,-726.3451538085938
103,-738.5602416992188
106,-809.5559692382812
109,-791.5283813476562
112,-894.6983642578125
115,-903.4077758789062
118,-852.0194091796875
121,-981.9334106445312
124,-952.7864379882812
127,-997.8969116210938
130,-1001.2368774414062
133,-1116.07080078125
136,-1050.521484375
139,-1017.719970703125
142,-1047.3499755859375
145,-1038.4039306640625
148,-1076.371337890625
151,-1136.87451171875
154,-1013.680908203125
157,-1024.6290283203125
160,-1105.333740234375
163,-1052.6568603515625
166,-1012.3399047851562
169,-1133.7239990234375
172,-1162.807373046875
175,-1087.47900390625
178,-1105.8306884765625
181,-1108.46435546875
184,-1135.1063232421875
187,-1115.8699951171875
190,-1119.865966796875
193,-1123.6326904296875
196,-1089.1407470703125
199,-1141.4906005859375
202,-1122.2489013671875
205,-1189.6363525390625
208,-1078.934326171875
211,-1064.053466796875
214,-1068.3343505859375
217,-975.1548461914062
220,-926.0756225585938
223,-781.42431640625
226,-917.9500732421875
229,-1009.1691284179688
232,-1094.3680419921875
235,-1043.171142578125
238,-1048.4742431640625
241,-1284.734375
244,-1497.134521484375
247,-1437.3375244140625
250,-1570.2940673828125
253,-1379.816650390625
256,-1309.89404296875
259,-1379.822265625
262,-1458.14794921875
265,-1326.5179443359375
268,-1498.7921142578125
271,-1678.134033203125
274,-1826.575439453125
277,-1715.1009521484375
280,-1835.4344482421875
283,-1647.6495361328125
286,-1616.7596435546875
289,-1171.532470703125
292,-1415.0137939453125
295,-1481.7120361328125
298,-1579.395751953125
301,-1548.699951171875
304,-1533.5111083984375
307,-1479.2041015625
310,-1419.93798828125
313,-1344.3499755859375
316,-1287.7630615234375
319,-1258.060546875
322,-1078.0892333984375
325,-983.522216796875
328,-798.4540405273438
331,-789.142578125
334,-771.4841918945312
337,-745.5005493164062
340,-762.0595703125
343,-800.921630859375
346,-819.17041015625
349,-810.8831787109375
352,-839.1896362304688
355,-899.1942749023438
358,-948.8331298828125
361,-943.7735595703125
364,-894.579345703125
367,-906.02685546875
370,-1006.1373291015625
373,-900.081787109375
376,-1017.014404296875
379,-927.9841918945312
382,-892.6754150390625
385,-1008.92431640625
388,-935.6495971679688
391,-907.871337890625
394,-938.4671630859375
397,-944.0277099609375
400,-850.6309204101562
403,-885.9825439453125
406,-892.60400390625
409,-848.91259765625
412,-860.9302368164062
415,-837.8597412109375
418,-828.6859741210938
421,-812.769287109375
424,-821.6022338867188
427,-805.6844482421875
430,-772.2281494140625
433,-791.4281005859375
436,-792.0009765625
439,-772.8349609375
442,-690.4522094726562
445,-731.2915649414062
448,-693.3434448242188
451,-744.7044677734375
454,-602.421142578125
457,-588.0678100585938
460,-453.5114440917969
463,-369.2464904785156
466,-275.21209716796875
469,-326.486572265625
472,-178.2039031982422
475,-213.1090850830078
478,-146.87957763671875
481,-154.28111267089844
484,-47.89155578613281
487,-31.651527404785156
490,-30.983348846435547
493,-20.249940872192383
496,-21.611360549926758
499,-21.02623748779297
502,-17.987953186035156
505,-13.798762321472168
508,-16.445823669433594
511,-18.107149124145508
514,-12.821481704711914
517,-17.235750198364258
520,-11.953339576721191
523,-14.457132339477539
526,-16.598487854003906
529,-10.287437438964844
532,-9.357009887695312
535,-16.458845138549805
538,-4.2799763679504395
541,-3.4480912685394287
544,-6.546778678894043
547,-3.738856077194214
550,-3.9971187114715576
553,-6.357539176940918
556,-3.6722753047943115
559,-7.095371723175049
562,-5.385625839233398
565,-6.264512538909912
568,-4.8507513999938965
571,-7.309013366699219
574,-7.186727523803711
577,-6.38164758682251
580,-4.7030510902404785
583,-9.165847778320312
586,-6.846932411193848
589,-10.385345458984375
592,-5.91284704208374
595,-7.265376567840576
598,-4.13973331451416
601,-12.56923770904541
604,-20.845949172973633
607,-8.264107704162598
610,-6.887427806854248
613,-20.11162757873535
616,-4.847306728363037
619,-6.883046627044678
622,-7.421865463256836
625,-4.539555549621582
628,-8.43428897857666
631,-10.118931770324707
634,-7.347506999969482
637,-7.15890645980835
640,-10.128146171569824
643,-7.70326566696167
646,-14.538100242614746
649,-9.282882690429688
652,-8.648316383361816
655,-9.48732852935791
658,-15.258509635925293
661,-8.154723167419434
664,-15.757387161254883
667,-8.671093940734863
670,-26.140378952026367
673,-11.4837007522583
676,-17.835643768310547
679,-11.742097854614258
682,-17.738893508911133
685,-14.049789428710938
688,-10.964799880981445
691,-12.75922966003418
694,-11.796831130981445
697,-17.04216194152832
700,-25.633028030395508
703,-19.566980361938477
706,-8.283047676086426
709,-13.621285438537598
712,-16.22593116760254
715,-7.560207843780518
718,-20.98723030090332
721,-9.881532669067383
724,-11.149735450744629
727,-11.58945369720459
730,-9.336712837219238
733,-21.711950302124023
736,-18.21110725402832
739,-16.323728561401367
742,-10.645066261291504
745,-8.87366771697998
748,-11.135385513305664
751,-13.1554594039917
754,-17.120737075805664
757,-10.955068588256836
760,-14.855186462402344
763,-9.80650520324707
766,-10.00965690612793
769,-10.445549964904785
772,-12.909417152404785
775,-14.271764755249023
778,-9.841772079467773
781,-10.907615661621094
784,-13.130098342895508
787,-10.13009262084961
790,-15.788284301757812
793,-17.1419677734375
796,-10.634247779846191
799,-17.4625186920166
802,-9.811963081359863
805,-9.211907386779785
808,-9.01465129852295
811,-12.624587059020996
814,-9.278922080993652
817,-13.10758113861084
820,-10.29114055633545
823,-10.11829662322998
826,-9.058063507080078
829,-8.874524116516113
832,-6.871652603149414
835,-8.830865859985352
838,-10.211268424987793
841,-8.726895332336426
844,-8.35020637512207
847,-9.768426895141602
850,-6.7305908203125
853,-9.714828491210938
856,-7.414586067199707
859,-12.615361213684082
862,-13.04106616973877
865,-8.821234703063965
868,-7.807121276855469
871,-12.421334266662598
874,-8.075910568237305
877,-7.153838634490967
880,-10.667940139770508
883,-8.762738227844238
886,-7.8931965827941895
889,-9.388317108154297
892,-12.721528053283691
895,-6.463326930999756
898,-7.737271308898926
901,-9.638404846191406
904,-9.640995979309082
907,-10.11015796661377
910,-9.705408096313477
913,-6.843951225280762
916,-5.3470025062561035
919,-8.588730812072754
922,-10.794062614440918
925,-10.980423927307129
928,-6.537082195281982
931,-6.860561847686768
934,-9.553526878356934
937,-7.307631492614746
940,-7.34796667098999
943,-8.24301528930664
946,-11.28043270111084
949,-9.699300765991211
952,-8.586745262145996
955,-6.997798442840576
958,-8.86083984375
961,-6.805705547332764
964,-7.083534240722656
967,-7.154195308685303
970,-5.8108720779418945
973,-7.766067028045654
976,-7.101790904998779
979,-9.121334075927734
982,-6.1768951416015625
