Wall time,Step,Value
1676016424.5572767,6300,-164.29183959960938
1676016428.529612,9300,-166.5162811279297
1676016432.8309736,12300,-204.87185668945312
1676016437.0923111,15300,-139.42669677734375
1676016441.344769,18300,-134.7332763671875
1676016445.636139,21300,-98.28658294677734
1676016450.2985058,24300,-105.36756134033203
1676016454.776789,27300,-127.24127960205078
1676016459.334558,30300,-106.69866180419922
1676016463.8023202,33300,-113.02891540527344
1676016468.2490802,36300,-108.92952728271484
1676016472.901097,39300,-109.01063537597656
1676016477.7963324,42300,-94.45430755615234
1676016482.7500205,45300,-94.54295349121094
1676016488.6093116,48300,-92.76515197753906
1676016493.6524014,51300,-92.6070556640625
1676016498.7726161,54300,-89.0668716430664
1676016503.9869072,57300,-85.54676055908203
1676016509.2258258,60300,-91.94956970214844
1676016514.1872303,63300,-112.6392822265625
1676016519.3068235,66300,-92.27639770507812
1676016524.4186685,69300,-109.74131774902344
1676016529.8962035,72300,-105.28667449951172
1676016535.4904947,75300,-114.0025634765625
1676016540.9075496,78300,-115.76168060302734
1676016546.5572877,81300,-168.88760375976562
1676016552.0472293,84300,-144.46791076660156
1676016557.712585,87300,-128.11807250976562
1676016563.9972718,90300,-93.29601287841797
1676016569.7754552,93300,-84.10301208496094
1676016575.6799052,96300,-111.68262481689453
1676016581.5555997,99300,-121.88079833984375
1676016587.822332,102300,-80.26265716552734
1676016593.9520292,105300,-92.34403991699219
1676016600.2585433,108300,-66.97109985351562
1676016606.3973284,111300,-45.469608306884766
1676016612.8834763,114300,-43.69572830200195
1676016619.0236216,117300,-55.46930694580078
1676016625.555807,120300,-81.20366668701172
1676016631.691971,123300,-119.79793548583984
1676016638.6762235,126300,-34.940982818603516
1676016645.3030756,129300,-27.77449607849121
1676016652.1884856,132300,-23.1496524810791
1676016658.9696796,135300,-32.08353805541992
1676016665.9367828,138300,-22.456165313720703
1676016672.9219081,141300,-32.04621505737305
1676016679.8090668,144300,-19.42431640625
1676016686.665982,147300,-66.3609848022461
1676016693.4908903,150300,-48.084232330322266
1676016700.9423025,153300,-27.119762420654297
1676016708.555391,156300,-17.36305809020996
1676016715.961173,159300,-31.235462188720703
1676016723.6504962,162300,-15.651836395263672
1676016731.2568855,165300,-34.7325439453125
1676016739.0981486,168300,-22.853723526000977
1676016746.7490296,171300,-18.286531448364258
1676016754.6537802,174300,-74.20671081542969
1676016762.7136743,177300,-46.86377716064453
1676016770.9571297,180300,-18.970104217529297
1676016779.2078774,183300,-22.6251277923584
1676016786.8868432,186300,-60.55607223510742
1676016794.528834,189300,-42.48866271972656
1676016802.655926,192300,-27.0531063079834
1676016810.659511,195300,-16.30691909790039
1676016818.6723347,198300,-24.155651092529297
1676016826.4607298,201300,-20.63222312927246
1676016834.8554487,204300,-14.219146728515625
1676016843.0230591,207300,-44.12910461425781
1676016851.5978231,210300,-23.538803100585938
1676016860.0183034,213300,-58.41181564331055
1676016868.435975,216300,-21.760208129882812
1676016877.4665596,219300,-23.49628257751465
1676016885.9118986,222300,-39.74956130981445
1676016895.4594297,225300,-22.877182006835938
1676016904.2652287,228300,-21.45993423461914
1676016912.9412487,231300,-14.3504638671875
1676016921.8454015,234300,-12.727463722229004
1676016930.8919253,237300,-20.865901947021484
1676016940.282722,240300,-18.093259811401367
1676016949.4021533,243300,-18.960445404052734
1676016958.724045,246300,-12.099943161010742
1676016967.4490106,249300,-54.646785736083984
1676016976.5885563,252300,-17.284639358520508
1676016985.938949,255300,-32.69322204589844
1676016995.196885,258300,-17.721200942993164
1676017004.6316605,261300,-16.815128326416016
1676017014.100438,264300,-35.09314727783203
1676017024.2841067,267300,-15.289176940917969
1676017034.2024646,270300,-23.702157974243164
1676017043.8784008,273300,-12.44240951538086
1676017053.4069242,276300,-29.912965774536133
1676017063.568294,279300,-12.139181137084961
1676017073.783746,282300,-24.728410720825195
1676017083.5442808,285300,-21.03626251220703
1676017094.3338666,288300,-22.492107391357422
1676017105.054503,291300,-18.348957061767578
1676017115.5536294,294300,-29.033851623535156
1676017126.0643158,297300,-18.716394424438477
1676017137.0829282,300300,-15.440427780151367
1676017147.686629,303300,-12.025008201599121
1676017157.9443514,306300,-13.642383575439453
1676017168.7662082,309300,-41.09275436401367
1676017179.251365,312300,-27.38394546508789
1676017190.0860252,315300,-25.804218292236328
1676017200.886492,318300,-14.453137397766113
1676017211.5586007,321300,-14.352531433105469
1676017222.8727465,324300,-14.453641891479492
1676017234.6593702,327300,-16.21631622314453
1676017245.8515754,330300,-11.778841972351074
1676017257.6362813,333300,-14.045783996582031
1676017269.8324084,336300,-26.108362197875977
1676017281.6748571,339300,-13.203164100646973
1676017292.807631,342300,-11.106943130493164
1676017304.8195984,345300,-14.740499496459961
1676017317.5304542,348300,-18.793739318847656
1676017329.4912302,351300,-25.498584747314453
1676017341.6368525,354300,-11.681432723999023
1676017353.5572662,357300,-12.276379585266113
1676017366.1828735,360300,-16.493412017822266
1676017378.7437654,363300,-12.320291519165039
1676017391.2586663,366300,-12.682823181152344
1676017403.926601,369300,-12.083561897277832
1676017416.248757,372300,-14.58574390411377
1676017429.2651815,375300,-11.999706268310547
1676017441.7969742,378300,-13.286140441894531
1676017454.023372,381300,-36.464195251464844
1676017466.1420314,384300,-11.037055015563965
1676017478.9018404,387300,-16.796388626098633
1676017491.9330091,390300,-10.695792198181152
1676017504.301025,393300,-12.996269226074219
1676017516.858913,396300,-14.106985092163086
1676017529.8091123,399300,-28.12833595275879
1676017542.503543,402300,-26.122514724731445
1676017555.3652868,405300,-11.859749794006348
1676017568.611215,408300,-13.473687171936035
1676017583.0488648,411300,-21.346660614013672
1676017597.0725474,414300,-19.73529624938965
1676017611.4741282,417300,-14.3988676071167
1676017625.6168282,420300,-10.082756996154785
1676017639.6978624,423300,-10.380960464477539
1676017654.204981,426300,-9.99262809753418
1676017668.0935225,429300,-21.794527053833008
1676017681.472847,432300,-13.23257827758789
1676017694.8827965,435300,-28.66240882873535
