Wall time,Step,Value
1661591818.8831818,1400,-2194.682373046875
1661591819.3224082,2000,-914.12060546875
1661591819.7883213,2600,-1980.162109375
1661591820.27274,3200,-188.02867126464844
1661591820.7683442,3800,-2169.38525390625
1661591821.2680655,4400,-542.6438598632812
1661591821.8101735,5000,-1326.909912109375
1661591822.312484,5600,-1113.4820556640625
1661591822.837276,6200,-1370.914794921875
1661591823.3707592,6800,-585.4298095703125
1661591823.9100227,7400,-871.0261840820312
1661591824.4610605,8000,-521.27197265625
1661591825.035707,8600,-754.7966918945312
1661591825.6256328,9200,-1129.5640869140625
1661591826.2630687,9800,-657.2548828125
1661591826.8715034,10400,-801.6528930664062
1661591827.4903724,11000,-783.35205078125
1661591828.1179543,11600,-817.6027221679688
1661591828.7531621,12200,-407.5484619140625
1661591829.41402,12800,-392.77056884765625
1661591830.261448,13400,-279.55206298828125
1661591831.1491804,14000,-374.9156188964844
1661591831.8631418,14600,-457.8452453613281
1661591832.5918496,15200,-375.1228332519531
1661591833.344196,15800,-226.68035888671875
1661591834.0820212,16400,-113.49622344970703
1661591834.8290946,17000,-71.02510833740234
1661591835.593291,17600,-370.0291748046875
1661591836.3736126,18200,-552.7782592773438
1661591837.1838229,18800,-173.2562255859375
1661591838.2180684,19400,-289.723388671875
1661591839.0475543,20000,-295.99053955078125
1661591839.8675897,20600,-76.27063751220703
1661591840.7008607,21200,-597.094970703125
1661591841.5798726,21800,-541.3692016601562
1661591842.4363754,22400,-418.7247619628906
1661591843.29608,23000,-475.22344970703125
1661591844.2012901,23600,-293.3009948730469
1661591845.121651,24200,-543.47216796875
1661591846.0834205,24800,-309.70233154296875
1661591846.9850724,25400,-574.2007446289062
1661591847.9211838,26000,-342.4190673828125
1661591848.8591697,26600,-70.48602294921875
1661591849.8184927,27200,-332.9012756347656
1661591850.8740146,27800,-69.89826965332031
1661591852.0828032,28400,-196.8125457763672
1661591853.2522345,29000,-601.8629760742188
1661591854.3868167,29600,-177.48133850097656
1661591855.6060996,30200,-54.101078033447266
1661591856.9549632,30800,-189.0666046142578
1661591858.3399923,31400,-179.21646118164062
1661591859.5553222,32000,-40.59956741333008
1661591860.7702281,32600,-471.4175109863281
1661591861.989589,33200,-503.1131591796875
1661591863.1690078,33800,-117.84600830078125
1661591864.4016912,34400,-95.69845581054688
1661591865.7467701,35000,-223.25917053222656
1661591867.0229917,35600,-66.1906967163086
1661591868.3498237,36200,-21.94778823852539
1661591869.54467,36800,-26.85759162902832
1661591870.9588277,37400,-36.01362991333008
1661591872.4759476,38000,-17.64656639099121
1661591873.7383814,38600,-58.748329162597656
1661591875.1223183,39200,-46.62160110473633
1661591876.4993694,39800,-37.315731048583984
1661591877.821032,40400,-32.81144714355469
1661591879.1109025,41000,-19.162921905517578
1661591880.6347518,41600,-41.302398681640625
1661591881.9520667,42200,-155.6888885498047
1661591883.610013,42800,-77.82691192626953
1661591885.103791,43400,-39.628273010253906
1661591886.515318,44000,-21.065589904785156
1661591887.8332882,44600,-35.80805587768555
1661591889.2262077,45200,-38.07155990600586
1661591890.6499984,45800,-66.2896499633789
1661591892.2057884,46400,-39.99679183959961
1661591893.8570006,47000,-18.6004638671875
1661591895.6078887,47600,-43.67515182495117
1661591897.2402017,48200,-20.107351303100586
1661591898.9838505,48800,-37.9580078125
1661591900.7156913,49400,-31.92399787902832
1661591902.1942239,50000,-13.402652740478516
1661591903.7119744,50600,-36.86045837402344
1661591905.4396644,51200,-23.770755767822266
1661591907.1312554,51800,-24.225570678710938
1661591908.7916572,52400,-34.200401306152344
1661591910.5878158,53000,-13.838274002075195
1661591912.424454,53600,-42.98191833496094
1661591914.3839018,54200,-18.643775939941406
1661591916.1410768,54800,-40.06514358520508
1661591917.8377936,55400,-35.72513961791992
1661591919.7085671,56000,-16.114065170288086
1661591921.6882114,56600,-37.567710876464844
1661591923.552995,57200,-22.103588104248047
1661591925.377514,57800,-21.304506301879883
1661591927.216315,58400,-34.46656036376953
1661591928.8624313,59000,-14.65825366973877
1661591930.7648616,59600,-36.64704895019531
1661591932.5793483,60200,-20.39786720275879
1661591934.192147,60800,-23.35896873474121
1661591935.8707886,61400,-29.725976943969727
1661591937.9555554,62000,-13.011670112609863
1661591940.0163,62600,-34.550559997558594
1661591941.9113686,63200,-17.35247039794922
1661591943.7796235,63800,-29.528303146362305
1661591945.9627585,64400,-38.98296356201172
1661591947.8092237,65000,-18.607044219970703
1661591949.9739316,65600,-39.832218170166016
1661591952.0019393,66200,-22.87673568725586
1661591953.8014007,66800,-24.000768661499023
1661591955.7580976,67400,-32.408592224121094
1661591958.1575298,68000,-13.29279613494873
1661591960.2577446,68600,-35.77691650390625
1661591962.2400968,69200,-18.35719108581543
1661591964.3563795,69800,-29.6402587890625
1661591966.371302,70400,-20.4493408203125
1661591968.4762652,71000,-22.50738525390625
1661591970.825897,71600,-36.63413619995117
1661591972.9212604,72200,-53.38960266113281
1661591975.085504,72800,-33.67403030395508
1661591977.3427622,73400,-19.879634857177734
1661591979.5801725,74000,-30.34227752685547
1661591981.9082747,74600,-30.767925262451172
1661591984.2104833,75200,-15.214017868041992
1661591986.43212,75800,-21.918106079101562
1661591988.7226064,76400,-73.86627960205078
1661591991.2733963,77000,-9.135798454284668
1661591993.6173093,77600,-52.36427307128906
1661591996.2142122,78200,-12.004359245300293
1661591998.646071,78800,-10.560223579406738
1661592001.0679417,79400,-13.27678394317627
1661592003.2433674,80000,-11.887697219848633
1661592005.600614,80600,-25.769136428833008
1661592008.0787947,81200,-19.884326934814453
1661592010.5395727,81800,-24.132169723510742
1661592013.0688417,82400,-25.4212589263916
1661592015.4329789,83000,-13.493204116821289
1661592017.9985108,83600,-30.4741153717041
1661592020.503468,84200,-14.355289459228516
1661592022.8876796,84800,-20.35769271850586
1661592025.0808818,85400,-29.14541244506836
1661592027.6223752,86000,-30.587312698364258
1661592029.8904994,86600,-10.222972869873047
1661592032.2829568,87200,-10.354301452636719
1661592034.647268,87800,-15.829764366149902
1661592037.34049,88400,-10.79188060760498
1661592039.9421568,89000,-35.549251556396484
